transcript_id,1101.2.gtf,1548.2.gtf,1628.2.gtf,Sample4.2.gtf,Sample5.2.gtf,Sample6.2.gtf
Montipora_capitata_PredGene_g23320.t1,0,0,0,1,2,0
Montipora_capitata_PredGene_g48805.t1,17,10,30,9,17,10
Montipora_capitata_PredGene_adi2mcaRNA30394_R3.t1,59,47,31,19,21,26
Montipora_capitata_PredGene_g24115.t1,174,34,21,27,24,31
Montipora_capitata_PredGene_g17368.t1,0,0,0,0,9,12
Montipora_capitata_PredGene_g51632.t1,700,593,547,27,15,17
Montipora_capitata_PredGene_g37691.t1,0,0,0,12,7,13
Montipora_capitata_PredGene_adi2mcaRNA26549_R4.t1,0,0,0,22,10,9
Montipora_capitata_PredGene_g12695.t1,0,0,0,2,2,4
Montipora_capitata_PredGene_g11791.t1,0,0,0,6,7,8
Montipora_capitata_PredGene_g3517.t1,165,153,115,5,15,16
Montipora_capitata_PredGene_g19458.t1,5,0,0,11,3,5
Montipora_capitata_PredGene_g31783.t1,535,471,469,36,39,29
Montipora_capitata_PredGene_g1248.t1,0,0,2,31,20,34
Montipora_capitata_PredGene_g3873.t1,1,0,0,6,10,7
Montipora_capitata_PredGene_g25583.t1,0,1,1,9,12,10
Montipora_capitata_PredGene_g46884.t1,0,0,0,1,1,2
Montipora_capitata_PredGene_g48863.t1,0,0,0,5,5,6
Montipora_capitata_PredGene_g12410.t1,0,0,3,17,17,20
Montipora_capitata_PredGene_g21756.t1,0,56,30,0,2,9
Montipora_capitata_PredGene_g10732.t1,9,29,6,2,8,7
Montipora_capitata_PredGene_g23220.t1,0,0,0,10,16,7
Montipora_capitata_PredGene_g48807.t1,0,0,0,22,4,16
Montipora_capitata_PredGene_g21530.t1,0,0,0,14,19,22
Montipora_capitata_PredGene_g53327.t1,3,0,0,2,0,3
Montipora_capitata_PredGene_adi2mcaRNA18891_R4.t1,0,0,0,5,1,0
Montipora_capitata_PredGene_adi2mcaRNA38802_R8.t1,0,0,0,3,2,0
Montipora_capitata_PredGene_g21896.t1,0,0,0,16,6,13
Montipora_capitata_PredGene_g58082.t1,46,68,36,9,10,4
Montipora_capitata_PredGene_g50274.t1,0,0,0,23,11,16
Montipora_capitata_PredGene_g60002.t1,77,12,35,11,11,18
Montipora_capitata_PredGene_g69120.t1,534,595,680,37,24,49
Montipora_capitata_PredGene_g5026.t1,0,0,0,13,5,3
Montipora_capitata_PredGene_g49920.t1,336,242,384,9,6,9
Montipora_capitata_PredGene_g26976.t1,0,0,0,4,9,7
Montipora_capitata_PredGene_g63873.t1,0,4,0,0,6,3
Montipora_capitata_PredGene_adi2mcaRNA29406_R1.t1,285,131,135,26,24,16
Montipora_capitata_PredGene_g12412.t1,0,0,0,16,13,11
Montipora_capitata_PredGene_adi2mcaRNA10829_R2.t1,56,0,0,3,0,0
Montipora_capitata_PredGene_g66637.t1,77,41,69,12,15,6
Montipora_capitata_PredGene_g35308.t1,9,15,26,5,4,11
Montipora_capitata_PredGene_g65722.t1,0,0,0,0,0,0
Montipora_capitata_PredGene_g10540.t1,0,0,2,5,8,5
Montipora_capitata_PredGene_g18151.t1,1,0,0,1,6,11
Montipora_capitata_PredGene_g17578.t1,0,0,0,2,0,3
Montipora_capitata_PredGene_g207.t1,0,25,0,0,10,0
Montipora_capitata_PredGene_g35257.t1,14249,10176,7497,109,43,78
Montipora_capitata_PredGene_g11684.t1,3,0,0,20,5,11
Montipora_capitata_PredGene_g17979.t1,0,0,0,28,16,35
Montipora_capitata_PredGene_g15027.t1,0,0,0,0,22,6
Montipora_capitata_PredGene_g22389.t1,98,433,392,0,0,0
Montipora_capitata_PredGene_g4348.t1,184,0,209,35,0,27
Montipora_capitata_PredGene_g67648.t1,11,6,7,11,23,28
Montipora_capitata_PredGene_g67353.t1,2350,1940,1752,16,16,31
Montipora_capitata_PredGene_g22870.t1,0,0,0,2,6,1
Montipora_capitata_PredGene_g12824.t1,30,0,8,0,6,3
Montipora_capitata_PredGene_g40654.t1,0,8,0,0,27,0
Montipora_capitata_PredGene_g20239.t1,0,9,0,2,6,7
Montipora_capitata_PredGene_g49854.t1,1039,1083,1123,9,10,0
Montipora_capitata_PredGene_g28974.t1,0,0,0,1,3,3
Montipora_capitata_PredGene_g53754.t1,0,0,0,41,29,31
Montipora_capitata_PredGene_adi2mcaRNA568_R2.t1,0,0,0,28,36,38
Montipora_capitata_PredGene_g16297.t1,0,0,3,0,5,11
Montipora_capitata_PredGene_g11686.t1,19,19,25,24,10,15
Montipora_capitata_PredGene_g24708.t1,0,0,0,17,5,7
Montipora_capitata_PredGene_g69900.t1,0,5,5,10,0,12
Montipora_capitata_PredGene_g5142.t1,1231,200,1402,35,13,126
Montipora_capitata_PredGene_g1806.t1,0,1,0,0,1,3
Montipora_capitata_PredGene_g62339.t1,1,0,0,24,20,19
Montipora_capitata_PredGene_adi2mcaRNA27795_R0.t1,1194,1475,1014,58,48,45
Montipora_capitata_PredGene_g24094.t1,284,293,276,17,24,23
Montipora_capitata_PredGene_g32581.t1,0,0,0,3,3,2
Montipora_capitata_PredGene_g21541.t1,0,0,0,9,0,0
Montipora_capitata_PredGene_adi2mcaRNA29406_R3.t1,28,100,30,11,16,10
Montipora_capitata_PredGene_g6573.t1,0,0,0,21,22,7
Montipora_capitata_PredGene_g9379.t1,0,28,0,0,13,5
Montipora_capitata_PredGene_g23129.t1,31,18,51,148,115,86
Montipora_capitata_PredGene_g11446.t1,0,0,0,16,6,16
Montipora_capitata_PredGene_g8006.t1,0,0,0,8,7,4
Montipora_capitata_PredGene_g41715.t1,0,0,0,6,4,7
Montipora_capitata_PredGene_g6590.t1,0,0,1,74,41,37
Montipora_capitata_PredGene_g42172.t1,4,5,8,8,8,16
Montipora_capitata_PredGene_g5516.t1,13,17,26,14,5,10
Montipora_capitata_PredGene_g40507.t1,0,0,0,42,29,28
Montipora_capitata_PredGene_g49922.t1,1457,1115,1058,27,15,19
Montipora_capitata_PredGene_g10471.t1,4,0,3,19,16,10
Montipora_capitata_PredGene_g22457.t1,845,571,522,60,57,59
Montipora_capitata_PredGene_g11959.t1,3,2,3,41,41,32
Montipora_capitata_PredGene_g49376.t1,0,0,0,11,9,10
Montipora_capitata_PredGene_g39808.t1,0,0,0,16,0,6
Montipora_capitata_PredGene_g47621.t1,3,0,0,4,8,3
Montipora_capitata_PredGene_g24847.t1,0,0,0,3,10,4
Montipora_capitata_PredGene_g32583.t1,0,0,0,13,2,1
Montipora_capitata_PredGene_g27213.t1,4,2,0,8,5,6
Montipora_capitata_PredGene_g51332.t1,0,0,0,1,2,1
Montipora_capitata_PredGene_g35988.t1,1382,1033,826,22,28,24
Montipora_capitata_PredGene_g30354.t1,0,0,0,4,1,5
Montipora_capitata_PredGene_g39024.t1,0,2,0,5,7,10
Montipora_capitata_PredGene_g55911.t1,0,0,0,15,2,10
Montipora_capitata_PredGene_g48148.t1,8,7,9,3,0,5
Montipora_capitata_PredGene_g28865.t1,79,115,70,10,11,8
Montipora_capitata_PredGene_adi2mcaRNA36099_R8.t1,2,5,2,25,30,31
Montipora_capitata_PredGene_adi2mcaRNA22940_R3.t1,0,0,0,30,9,13
Montipora_capitata_PredGene_g45783.t1,0,0,0,10,2,4
Montipora_capitata_PredGene_g37027.t1,52,102,27,18,14,8
Montipora_capitata_PredGene_g31109.t1,86,75,67,264,223,234
Montipora_capitata_PredGene_g126.t1,30,74,36,56,52,40
Montipora_capitata_PredGene_adi2mcaRNA5823_R5.t1,0,0,0,0,3,11
Montipora_capitata_PredGene_g5140.t1,0,0,0,11,0,9
Montipora_capitata_PredGene_adi2mcaRNA36949_R0.t1,0,0,0,16,5,11
Montipora_capitata_PredGene_g6709.t1,0,3,0,41,33,34
Montipora_capitata_PredGene_g7204.t1,1,0,1,6,10,8
Montipora_capitata_PredGene_g68647.t1,2,4,13,18,20,8
Montipora_capitata_PredGene_g58097.t1,18,21,61,16,24,10
Montipora_capitata_PredGene_g15815.t1,0,0,0,13,8,4
Montipora_capitata_PredGene_g39599.t1,0,0,0,6,3,2
Montipora_capitata_PredGene_g35956.t1,1314,1211,1242,26,28,22
Montipora_capitata_PredGene_g27211.t1,30,5,7,54,25,23
Montipora_capitata_PredGene_g19056.t1,0,2,0,8,20,14
Montipora_capitata_PredGene_g26062.t1,0,0,0,9,0,4
Montipora_capitata_PredGene_adi2mcaRNA17490_R9.t1,0,0,0,27,31,17
Montipora_capitata_PredGene_g26506.t1,26,11,6,12,9,9
Montipora_capitata_PredGene_g54361.t1,107,250,302,4,0,7
Montipora_capitata_PredGene_adi2mcaRNA29054_R0.t1,0,0,0,21,15,39
Montipora_capitata_PredGene_g33117.t1,12,0,6,12,13,19
Montipora_capitata_PredGene_g8667.t1,0,0,0,5,5,13
Montipora_capitata_PredGene_g65719.t1,0,0,0,0,3,6
Montipora_capitata_PredGene_g20682.t1,0,0,0,3,2,1
Montipora_capitata_PredGene_g16101.t1,9,6,23,5,8,7
Montipora_capitata_PredGene_adi2mcaRNA38424_R4.t1,4,4,0,15,13,19
Montipora_capitata_PredGene_g33619.t1,1035,1068,1411,12,0,11
Montipora_capitata_PredGene_g26920.t1,0,0,0,6,14,11
Montipora_capitata_PredGene_g46369.t1,886,621,479,32,18,29
Montipora_capitata_PredGene_g33090.t1,0,0,0,15,15,15
Montipora_capitata_PredGene_g67487.t1,0,0,0,2,3,3
Montipora_capitata_PredGene_g27078.t1,37,16,6,41,26,21
Montipora_capitata_PredGene_g22455.t1,9376,11183,9165,16,8,19
Montipora_capitata_PredGene_g9299.t1,3,0,0,4,4,1
Montipora_capitata_PredGene_g23411.t1,0,0,0,7,8,9
Montipora_capitata_PredGene_g219.t1,13,3,15,26,18,18
Montipora_capitata_PredGene_g12019.t1,0,0,0,2,2,8
Montipora_capitata_PredGene_g28028.t1,666,481,362,11,13,11
Montipora_capitata_PredGene_g30730.t1,0,0,0,0,8,9
Montipora_capitata_PredGene_g47679.t1,0,0,2,12,23,11
Montipora_capitata_PredGene_g27725.t1,215,129,200,9,8,4
Montipora_capitata_PredGene_g45318.t1,4,3,2,14,14,22
Montipora_capitata_PredGene_g39198.t1,33,19,16,9,0,3
Montipora_capitata_PredGene_g60797.t1,198,161,129,14,0,11
Montipora_capitata_PredGene_adi2mcaRNA17128_R1.t1,1317,1169,592,21,30,27
Montipora_capitata_PredGene_g31781.t1,806,606,999,134,23,91
Montipora_capitata_PredGene_g7977.t1,0,0,0,10,9,4
Montipora_capitata_PredGene_g63259.t1,0,6,0,7,3,3
Montipora_capitata_PredGene_g67485.t1,0,0,0,15,8,9
Montipora_capitata_PredGene_g16482.t1,643,571,734,14,10,11
Montipora_capitata_PredGene_g30999.t1,257,133,95,8,9,6
Montipora_capitata_PredGene_g64090.t1,309,287,220,13,5,7
Montipora_capitata_PredGene_g70445.t1,463,504,504,0,10,17
Montipora_capitata_PredGene_adi2mcaRNA10825_R2.t1,0,1,1,17,20,15
Montipora_capitata_PredGene_g22592.t1,6,16,0,10,23,15
Montipora_capitata_PredGene_g58095.t1,155,139,179,0,3,10
Montipora_capitata_PredGene_g25249.t1,256,207,170,19,17,22
Montipora_capitata_PredGene_g65756.t1,4,2,0,6,6,8
Montipora_capitata_PredGene_adi2mcaRNA19635_R0.t1,502,430,575,19,16,25
Montipora_capitata_PredGene_adi2mcaRNA25523_R0.t1,49,39,19,32,20,28
Montipora_capitata_PredGene_g5503.t1,0,0,0,2,4,2
Montipora_capitata_PredGene_adi2mcaRNA16492_R8.t1,113,289,126,17,23,4
Montipora_capitata_PredGene_g39716.t1,4,266,266,30,14,24
Montipora_capitata_PredGene_g39338.t1,10,10,0,12,9,12
Montipora_capitata_PredGene_g25993.t1,221,202,270,11,5,4
Montipora_capitata_PredGene_g37687.t1,176,118,149,14,0,0
Montipora_capitata_PredGene_adi2mcaRNA37543_R3.t1,8,0,0,23,12,33
Montipora_capitata_PredGene_g60724.t1,117,61,132,8,3,10
Montipora_capitata_PredGene_g24060.t1,2623,1657,1425,47,34,51
Montipora_capitata_PredGene_g22124.t1,0,0,0,12,17,17
Montipora_capitata_PredGene_g61582.t1,11,10,0,14,6,5
Montipora_capitata_PredGene_adi2mcaRNA28667_R0.t1,0,0,0,7,14,17
Montipora_capitata_PredGene_g33634.t1,13,15,37,9,5,6
Montipora_capitata_PredGene_g69679.t1,2,20,13,7,10,18
Montipora_capitata_PredGene_adi2mcaRNA27026_R9.t1,7,3,5,22,11,12
Montipora_capitata_PredGene_g38790.t1,15024,13050,11891,29,23,26
Montipora_capitata_PredGene_g26227.t1,280,189,391,0,4,4
Montipora_capitata_PredGene_g55402.t1,19,15,11,20,10,20
Montipora_capitata_PredGene_g15160.t1,0,0,0,0,0,3
Montipora_capitata_PredGene_g62541.t1,0,0,0,9,10,0
Montipora_capitata_PredGene_g36363.t1,143,86,75,33,41,37
Montipora_capitata_PredGene_g34520.t1,0,0,0,6,1,2
Montipora_capitata_PredGene_g46673.t1,5,0,0,28,7,18
Montipora_capitata_PredGene_g18858.t1,0,0,0,13,9,37
Montipora_capitata_PredGene_g33788.t1,1007,759,871,28,30,41
Montipora_capitata_PredGene_g27082.t1,44,26,39,16,5,9
Montipora_capitata_PredGene_adi2mcaRNA17258_R8.t1,0,0,0,8,6,6
Montipora_capitata_PredGene_g20953.t1,219,47,20,9,7,3
Montipora_capitata_PredGene_g71127.t1,116,113,82,3,5,0
Montipora_capitata_PredGene_g3093.t1,53,66,38,14,12,7
Montipora_capitata_PredGene_g47623.t1,208,155,74,19,11,13
Montipora_capitata_PredGene_g63765.t1,0,0,0,5,4,9
Montipora_capitata_PredGene_g1843.t1,5,0,0,16,12,13
Montipora_capitata_PredGene_adi2mcaRNA21592_R3.t1,0,0,0,5,0,2
Montipora_capitata_PredGene_g63728.t1,0,0,0,8,3,10
Montipora_capitata_PredGene_g62143.t1,4358,3636,2482,42,25,100
Montipora_capitata_PredGene_g44905.t1,8,0,0,5,3,3
Montipora_capitata_PredGene_g62543.t1,0,3,8,16,11,14
Montipora_capitata_PredGene_g33735.t1,612,836,719,16,13,15
Montipora_capitata_PredGene_g16869.t1,79,51,50,9,13,10
Montipora_capitata_PredGene_g42699.t1,0,0,0,9,7,17
Montipora_capitata_PredGene_g51942.t1,3,4,0,3,7,4
Montipora_capitata_PredGene_g41488.t1,0,0,0,0,0,2
Montipora_capitata_PredGene_g47404.t1,0,0,0,70,10,64
Montipora_capitata_PredGene_g56049.t1,0,0,0,0,2,1
Montipora_capitata_PredGene_g70866.t1,0,0,0,1,2,2
Montipora_capitata_PredGene_adi2mcaRNA16743_R1.t1,39,9,18,0,0,20
Montipora_capitata_PredGene_g59674.t1,93,55,45,7,0,8
Montipora_capitata_PredGene_g52990.t1,0,6,0,5,7,7
Montipora_capitata_PredGene_g37823.t1,0,0,0,0,7,2
Montipora_capitata_PredGene_g24062.t1,1148,1406,1334,10,10,14
Montipora_capitata_PredGene_g55708.t1,5,0,4,19,5,13
Montipora_capitata_PredGene_g3972.t1,0,0,0,2,3,1
Montipora_capitata_PredGene_g15333.t1,1762,1335,1066,21,33,24
Montipora_capitata_PredGene_g21458.t1,0,0,0,3,2,4
Montipora_capitata_PredGene_g15316.t1,6,5,9,35,23,37
Montipora_capitata_PredGene_g3917.t1,0,0,0,6,10,0
Montipora_capitata_PredGene_g49591.t1,0,0,0,2,6,0
Montipora_capitata_PredGene_g51940.t1,7,6,2,8,16,6
Montipora_capitata_PredGene_g45903.t1,0,0,0,2,4,9
Montipora_capitata_PredGene_g32288.t1,251,177,113,12,11,13
Montipora_capitata_PredGene_g30381.t1,0,0,0,10,0,5
Montipora_capitata_PredGene_g981.t1,2,1,1,1,0,1
Montipora_capitata_PredGene_g27754.t1,7,4,8,27,12,19
Montipora_capitata_PredGene_g27719.t1,12,43,0,12,10,10
Montipora_capitata_PredGene_adi2mcaRNA38578_R2.t1,0,29,45,6,6,14
Montipora_capitata_PredGene_adi2mcaRNA21592_R1.t1,0,0,0,0,5,0
Montipora_capitata_PredGene_g20366.t1,4,3,0,5,4,4
Montipora_capitata_PredGene_g34522.t1,0,6,1,18,20,12
Montipora_capitata_PredGene_g46203.t1,0,0,0,10,10,0
Montipora_capitata_PredGene_g62426.t1,62,163,146,6,6,7
Montipora_capitata_PredGene_g57198.t1,38,35,30,29,25,22
Montipora_capitata_PredGene_g60428.t1,0,0,0,5,7,8
Montipora_capitata_PredGene_g69730.t1,0,1,0,1,2,2
Montipora_capitata_PredGene_g53395.t1,0,0,0,4,10,7
Montipora_capitata_PredGene_g66310.t1,0,0,0,11,10,6
Montipora_capitata_PredGene_g60081.t1,0,0,0,5,3,3
Montipora_capitata_PredGene_g9912.t1,0,0,0,13,21,0
Montipora_capitata_PredGene_g55176.t1,70,45,21,5,4,5
Montipora_capitata_PredGene_g69897.t1,0,0,0,2,5,10
Montipora_capitata_PredGene_adi2mcaRNA15396_R9.t1,0,0,0,4,2,4
Montipora_capitata_PredGene_adi2mcaRNA5330_R6.t1,13,13,4,14,19,18
Montipora_capitata_PredGene_g51231.t1,9,8,5,14,12,16
Montipora_capitata_PredGene_g1841.t1,0,51,27,11,8,9
Montipora_capitata_PredGene_g27226.t1,0,0,0,36,16,24
Montipora_capitata_PredGene_g42035.t1,123,91,60,15,9,24
Montipora_capitata_PredGene_g2538.t1,53,94,91,0,4,7
Montipora_capitata_PredGene_g21208.t1,106,49,126,31,16,25
Montipora_capitata_PredGene_g3567.t1,55,41,48,4,2,2
Montipora_capitata_PredGene_g23954.t1,1026,834,779,62,60,44
Montipora_capitata_PredGene_adi2mcaRNA15668_R2.t1,2,5,2,11,13,16
Montipora_capitata_PredGene_adi2mcaRNA32193_R3.t1,70,56,29,23,23,15
Montipora_capitata_PredGene_g24876.t1,0,0,0,8,14,7
Montipora_capitata_PredGene_g7550.t1,373,322,275,31,26,28
Montipora_capitata_PredGene_g5583.t1,26,21,7,2,8,6
Montipora_capitata_PredGene_g64482.t1,152,119,148,24,26,11
Montipora_capitata_PredGene_g25456.t1,0,0,0,5,2,13
Montipora_capitata_PredGene_g69356.t1,350,227,189,6,11,4
Montipora_capitata_PredGene_g59676.t1,482,570,287,16,21,20
Montipora_capitata_PredGene_g27337.t1,24,36,27,25,15,17
Montipora_capitata_PredGene_g45000.t1,0,0,0,12,11,0
Montipora_capitata_PredGene_g22066.t1,0,0,0,1,1,8
Montipora_capitata_PredGene_g51233.t1,0,0,0,5,9,8
Montipora_capitata_PredGene_g13284.t1,465,163,92,12,0,7
Montipora_capitata_PredGene_g70002.t1,1807,1601,1073,42,22,34
Montipora_capitata_PredGene_g50857.t1,0,0,2,56,35,34
Montipora_capitata_PredGene_g24931.t1,0,0,0,4,0,2
Montipora_capitata_PredGene_g62626.t1,0,10,1,14,18,11
Montipora_capitata_PredGene_g27955.t1,0,0,0,19,9,7
Montipora_capitata_PredGene_g28986.t1,0,0,1,14,16,9
Montipora_capitata_PredGene_adi2mcaRNA32703_R1.t1,1,1,1,1,2,2
Montipora_capitata_PredGene_g36863.t1,0,5,0,0,0,0
Montipora_capitata_PredGene_g62458.t1,4,0,0,8,2,0
Montipora_capitata_PredGene_g68237.t1,0,0,0,10,5,5
Montipora_capitata_PredGene_g5581.t1,2055,2234,1636,19,14,15
Montipora_capitata_PredGene_g10655.t1,0,0,0,16,8,7
Montipora_capitata_PredGene_g30268.t1,0,11,0,11,12,14
Montipora_capitata_PredGene_g14118.t1,0,0,0,4,8,4
Montipora_capitata_PredGene_g42336.t1,1,0,1,1,2,2
Montipora_capitata_PredGene_g61437.t1,0,0,3,7,7,3
Montipora_capitata_PredGene_g57651.t1,193,64,87,23,4,16
Montipora_capitata_PredGene_g7628.t1,0,3,7,10,8,13
Montipora_capitata_PredGene_g31803.t1,0,0,3,12,8,17
Montipora_capitata_PredGene_g2617.t1,0,0,0,4,4,9
Montipora_capitata_PredGene_adi2mcaRNA25476_R7.t1,0,0,0,6,3,1
Montipora_capitata_PredGene_g18265.t1,0,0,0,0,12,7
Montipora_capitata_PredGene_g32279.t1,67,41,25,20,25,11
Montipora_capitata_PredGene_g34703.t1,0,0,0,4,5,1
Montipora_capitata_PredGene_g30718.t1,0,0,0,16,6,14
Montipora_capitata_PredGene_g16055.t1,0,0,4,10,9,0
Montipora_capitata_PredGene_g55397.t1,0,6,0,0,4,1
Montipora_capitata_PredGene_g25991.t1,0,5,0,16,21,13
Montipora_capitata_PredGene_g51285.t1,0,0,0,10,0,16
Montipora_capitata_PredGene_g577.t1,145,123,114,30,15,17
Montipora_capitata_PredGene_g37312.t1,429,516,366,12,22,9
Montipora_capitata_PredGene_g56659.t1,17,7,8,21,17,20
Montipora_capitata_PredGene_g61787.t1,1,1,2,6,5,6
Montipora_capitata_PredGene_g32185.t1,0,0,0,10,8,7
Montipora_capitata_PredGene_adi2mcaRNA14014_R0.t1,347,392,260,20,25,20
Montipora_capitata_PredGene_g25316.t1,41,21,0,36,6,17
Montipora_capitata_PredGene_g57974.t1,4,10,0,21,28,37
Montipora_capitata_PredGene_g27957.t1,174,159,148,29,17,30
Montipora_capitata_PredGene_g62369.t1,0,0,0,13,18,17
Montipora_capitata_PredGene_adi2mcaRNA40671_R1.t1,3,13,2,15,17,4
Montipora_capitata_PredGene_g41314.t1,0,0,0,0,2,0
Montipora_capitata_PredGene_g7733.t1,237,278,557,0,0,0
Montipora_capitata_PredGene_adi2mcaRNA16583_R1.t1,0,0,0,10,13,0
Montipora_capitata_PredGene_g5390.t1,49,41,9,8,10,17
Montipora_capitata_PredGene_g14739.t1,6,0,0,7,0,7
Montipora_capitata_PredGene_g9042.t1,0,0,0,8,12,4
Montipora_capitata_PredGene_g17572.t1,0,0,0,3,4,5
Montipora_capitata_PredGene_adi2mcaRNA606_R2.t1,0,0,0,9,20,9
Montipora_capitata_PredGene_g36437.t1,9,4,0,3,5,14
Montipora_capitata_PredGene_adi2mcaRNA41353_R0.t1,0,0,7,42,14,30
Montipora_capitata_PredGene_adi2mcaRNA33582_R1.t1,241,168,195,0,6,0
Montipora_capitata_PredGene_adi2mcaRNA20281_R3.t1,136,343,84,27,31,20
Montipora_capitata_PredGene_g68038.t1,87,128,37,44,29,51
Montipora_capitata_PredGene_g36501.t1,0,0,0,21,23,12
Montipora_capitata_PredGene_g54182.t1,111,121,53,7,4,0
Montipora_capitata_PredGene_g41266.t1,0,0,0,13,18,9
Montipora_capitata_PredGene_g23461.t1,159,174,174,0,27,15
Montipora_capitata_PredGene_g28333.t1,0,0,0,4,9,0
Montipora_capitata_PredGene_g33737.t1,618,642,1039,0,2,0
Montipora_capitata_PredGene_g60805.t1,0,0,0,8,4,6
Montipora_capitata_PredGene_g66232.t1,0,12,9,3,2,0
Montipora_capitata_PredGene_g9358.t1,222,434,259,7,11,11
Montipora_capitata_PredGene_adi2mcaRNA28690_R2.t1,0,0,0,7,7,12
Montipora_capitata_PredGene_g47258.t1,62,15,17,20,13,9
Montipora_capitata_PredGene_g29328.t1,262,171,102,8,12,8
Montipora_capitata_PredGene_g33273.t1,3,0,53,28,13,21
Montipora_capitata_PredGene_g27080.t1,225,254,198,23,14,32
Montipora_capitata_PredGene_g37310.t1,7,47,40,18,10,13
Montipora_capitata_PredGene_g50042.t1,0,0,0,10,10,5
Montipora_capitata_PredGene_g34560.t1,0,4,0,0,2,4
Montipora_capitata_PredGene_g26278.t1,213,105,192,4,7,5
Montipora_capitata_PredGene_g70558.t1,846,742,448,22,24,22
Montipora_capitata_PredGene_g51287.t1,0,0,0,11,5,10
Montipora_capitata_PredGene_adi2mcaRNA39462_R1.t1,96,51,38,29,9,9
Montipora_capitata_PredGene_adi2mcaRNA38168_R0.t1,28,32,25,14,6,15
Montipora_capitata_PredGene_adi2mcaRNA295_R1.t1,263,173,118,10,13,7
Montipora_capitata_PredGene_g18084.t1,0,0,0,4,2,1
Montipora_capitata_PredGene_g2778.t1,0,0,0,9,12,20
Montipora_capitata_PredGene_g31652.t1,0,0,0,0,5,7
Montipora_capitata_PredGene_adi2mcaRNA16487_R3.t1,0,0,0,5,7,7
Montipora_capitata_PredGene_g66829.t1,99,156,56,3,8,10
Montipora_capitata_PredGene_adi2mcaRNA14388_R0.t1,5,21,16,19,21,13
Montipora_capitata_PredGene_g5856.t1,85,146,80,5,10,9
Montipora_capitata_PredGene_g42178.t1,230,62,66,35,6,22
Montipora_capitata_PredGene_adi2mcaRNA20281_R1.t1,118,461,170,45,40,42
Montipora_capitata_PredGene_g29204.t1,254,271,138,27,13,11
Montipora_capitata_PredGene_g29249.t1,88,126,66,5,6,10
Montipora_capitata_PredGene_g32004.t1,52,63,18,21,12,8
Montipora_capitata_PredGene_g63296.t1,0,15,20,8,6,7
Montipora_capitata_PredGene_g44063.t1,2,2,2,10,3,4
Montipora_capitata_PredGene_adi2mcaRNA34534_R0.t1,0,9,0,4,5,3
Montipora_capitata_PredGene_adi2mcaRNA21665_R3.t1,0,24,0,59,21,36
Montipora_capitata_PredGene_g71255.t1,0,0,0,12,7,11
Montipora_capitata_PredGene_g12354.t1,100,34,10,37,63,12
