"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"865","GO:0035641",0.244146729220187,1,1,1,"locomotory exploration behavior","BP"
"867","GO:0035751",0.244146729220187,1,1,1,"regulation of lysosomal lumen pH","BP"
"873","GO:0036035",0.244146729220187,1,1,1,"osteoclast development","BP"
"882","GO:0036465",0.244146729220187,1,1,1,"synaptic vesicle recycling","BP"
"883","GO:0036479",0.244146729220187,1,1,1,"peroxidase inhibitor activity","MF"
"897","GO:0039706",0.244146729220187,1,1,1,"co-receptor binding","MF"
"949","GO:0043068",0.244146729220187,1,1,1,"positive regulation of programmed cell death","BP"
"961","GO:0043195",0.244146729220187,1,1,1,"terminal bouton","CC"
"1004","GO:0044753",0.244146729220187,1,1,1,"amphisome","CC"
"1005","GO:0044754",0.244146729220187,1,1,1,"autolysosome","CC"
"1029","GO:0045453",0.244146729220187,1,1,1,"bone resorption","BP"
"1083","GO:0048312",0.244146729220187,1,1,1,"intracellular distribution of mitochondria","BP"
"1086","GO:0048489",0.244146729220187,1,1,1,"synaptic vesicle transport","BP"
"1107","GO:0048846",0.244146729220187,1,1,1,"axon extension involved in axon guidance","BP"
"1117","GO:0050732",0.244146729220187,1,1,1,"negative regulation of peptidyl-tyrosine phosphorylation","BP"
"1157","GO:0051646",0.244146729220187,1,1,1,"mitochondrion localization","BP"
"1160","GO:0051770",0.244146729220187,1,1,1,"positive regulation of nitric-oxide synthase biosynthetic process","BP"
"1167","GO:0051900",0.244146729220187,1,1,1,"regulation of mitochondrial depolarization","BP"
"1183","GO:0060070",0.244146729220187,1,1,1,"canonical Wnt signaling pathway","BP"
"1194","GO:0060159",0.244146729220187,1,1,1,"regulation of dopamine receptor signaling pathway","BP"
"1195","GO:0060161",0.244146729220187,1,1,1,"positive regulation of dopamine receptor signaling pathway","BP"
"1208","GO:0060628",0.244146729220187,1,1,1,"regulation of ER to Golgi vesicle-mediated transport","BP"
"1213","GO:0060828",0.244146729220187,1,1,1,"regulation of canonical Wnt signaling pathway","BP"
"1217","GO:0061001",0.244146729220187,1,1,1,"regulation of dendritic spine morphogenesis","BP"
"1246","GO:0070585",0.244146729220187,1,1,1,"protein localization to mitochondrion","BP"
"1257","GO:0070971",0.244146729220187,1,1,1,"endoplasmic reticulum exit site","CC"
"1258","GO:0070973",0.244146729220187,1,1,1,"protein localization to endoplasmic reticulum exit site","BP"
"1260","GO:0070997",0.244146729220187,1,1,1,"neuron death","BP"
"1271","GO:0071287",0.244146729220187,1,1,1,"cellular response to manganese ion","BP"
"1314","GO:0072593",0.244146729220187,1,1,1,"reactive oxygen species metabolic process","BP"
"1330","GO:0090140",0.244146729220187,1,1,1,"regulation of mitochondrial fission","BP"
"1333","GO:0090263",0.244146729220187,1,1,1,"positive regulation of canonical Wnt signaling pathway","BP"
"1340","GO:0090394",0.244146729220187,1,1,1,"negative regulation of excitatory postsynaptic potential","BP"
"1365","GO:0097487",0.244146729220187,1,1,1,"multivesicular body, internal vesicle","CC"
"1403","GO:0099400",0.244146729220187,1,1,1,"caveola neck","CC"
"1404","GO:0099523",0.244146729220187,1,1,1,"presynaptic cytosol","CC"
"1418","GO:0140058",0.244146729220187,1,1,1,"neuron projection arborization","BP"
"1433","GO:1900242",0.244146729220187,1,1,1,"regulation of synaptic vesicle endocytosis","BP"
"1434","GO:1900244",0.244146729220187,1,1,1,"positive regulation of synaptic vesicle endocytosis","BP"
"1442","GO:1901727",0.244146729220187,1,1,1,"positive regulation of histone deacetylase activity","BP"
"1446","GO:1902236",0.244146729220187,1,1,1,"negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","BP"
"1451","GO:1902499",0.244146729220187,1,1,1,"positive regulation of protein autoubiquitination","BP"
"1454","GO:1902692",0.244146729220187,1,1,1,"regulation of neuroblast proliferation","BP"
"1455","GO:1902803",0.244146729220187,1,1,1,"regulation of synaptic vesicle transport","BP"
"1457","GO:1902823",0.244146729220187,1,1,1,"negative regulation of late endosome to lysosome transport","BP"
"1458","GO:1902902",0.244146729220187,1,1,1,"negative regulation of autophagosome assembly","BP"
"1463","GO:1903125",0.244146729220187,1,1,1,"negative regulation of thioredoxin peroxidase activity by peptidyl-threonine phosphorylation","BP"
"1464","GO:1903206",0.244146729220187,1,1,1,"negative regulation of hydrogen peroxide-induced cell death","BP"
"1465","GO:1903215",0.244146729220187,1,1,1,"negative regulation of protein targeting to mitochondrion","BP"
"1466","GO:1903217",0.244146729220187,1,1,1,"negative regulation of protein processing involved in protein targeting to mitochondrion","BP"
"1468","GO:1903351",0.244146729220187,1,1,1,"cellular response to dopamine","BP"
"1472","GO:1903980",0.244146729220187,1,1,1,"positive regulation of microglial cell activation","BP"
"1480","GO:1904713",0.244146729220187,1,1,1,"beta-catenin destruction complex binding","MF"
"1482","GO:1904887",0.244146729220187,1,1,1,"Wnt signalosome assembly","BP"
"1492","GO:1905279",0.244146729220187,1,1,1,"regulation of retrograde transport, endosome to Golgi","BP"
"1493","GO:1905289",0.244146729220187,1,1,1,"regulation of CAMKK-AMPK signaling cascade","BP"
"1511","GO:1990904",0.244146729220187,1,1,1,"ribonucleoprotein complex","CC"
"1512","GO:1990909",0.244146729220187,1,1,1,"Wnt signalosome","CC"
"1517","GO:2000172",0.244146729220187,1,1,1,"regulation of branching morphogenesis of a nerve","BP"
"1524","GO:2000469",0.244146729220187,1,1,1,"negative regulation of peroxidase activity","BP"
"54","GO:0001658",0.244146729371964,1,1,1,"branching involved in ureteric bud morphogenesis","BP"
"61","GO:0001738",0.244146729371964,1,1,1,"morphogenesis of a polarized epithelium","BP"
"62","GO:0001755",0.244146729371964,1,1,1,"neural crest cell migration","BP"
"63","GO:0001764",0.244146729371964,1,1,1,"neuron migration","BP"
"76","GO:0001942",0.244146729371964,1,1,1,"hair follicle development","BP"
"159","GO:0005178",0.244146729371964,1,1,1,"integrin binding","MF"
"162","GO:0005201",0.244146729371964,1,1,1,"extracellular matrix structural constituent","MF"
"186","GO:0005610",0.244146729371964,1,1,1,"laminin-5 complex","CC"
"356","GO:0007414",0.244146729371964,1,1,1,"axonal defasciculation","BP"
"360","GO:0007498",0.244146729371964,1,1,1,"mesoderm development","BP"
"432","GO:0009408",0.244146729371964,1,1,1,"response to heat","BP"
"450","GO:0009887",0.244146729371964,1,1,1,"animal organ morphogenesis","BP"
"451","GO:0009888",0.244146729371964,1,1,1,"tissue development","BP"
"490","GO:0010950",0.244146729371964,1,1,1,"positive regulation of endopeptidase activity","BP"
"550","GO:0016331",0.244146729371964,1,1,1,"morphogenesis of embryonic epithelium","BP"
"636","GO:0030155",0.244146729371964,1,1,1,"regulation of cell adhesion","BP"
"800","GO:0033627",0.244146729371964,1,1,1,"cell adhesion mediated by integrin","BP"
"842","GO:0035001",0.244146729371964,1,1,1,"dorsal trunk growth, open tracheal system","BP"
"843","GO:0035011",0.244146729371964,1,1,1,"melanotic encapsulation of foreign target","BP"
"871","GO:0035987",0.244146729371964,1,1,1,"endodermal cell differentiation","BP"
"874","GO:0036062",0.244146729371964,1,1,1,"presynaptic periactive zone","CC"
"901","GO:0040017",0.244146729371964,1,1,1,"positive regulation of locomotion","BP"
"907","GO:0042127",0.244146729371964,1,1,1,"regulation of cell population proliferation","BP"
"924","GO:0042475",0.244146729371964,1,1,1,"odontogenesis of dentin-containing tooth","BP"
"950","GO:0043083",0.244146729371964,1,1,1,"synaptic cleft","CC"
"970","GO:0043259",0.244146729371964,1,1,1,"laminin-10 complex","CC"
"971","GO:0043260",0.244146729371964,1,1,1,"laminin-11 complex","CC"
"1047","GO:0045886",0.244146729371964,1,1,1,"negative regulation of synaptic assembly at neuromuscular junction","BP"
"1053","GO:0045995",0.244146729371964,1,1,1,"regulation of embryonic development","BP"
"1161","GO:0051788",0.244146729371964,1,1,1,"response to misfolded protein","BP"
"1205","GO:0060445",0.244146729371964,1,1,1,"branching involved in salivary gland morphogenesis","BP"
"1227","GO:0062023",0.244146729371964,1,1,1,"collagen-containing extracellular matrix","CC"
"1290","GO:0071711",0.244146729371964,1,1,1,"basement membrane organization","BP"
"316","GO:0007035",0.244146729641661,1,1,1,"vacuolar acidification","BP"
"496","GO:0012505",0.244146729641661,1,1,1,"endomembrane system","CC"
"969","GO:0043254",0.244146729641661,1,1,1,"regulation of protein-containing complex assembly","BP"
"975","GO:0043291",0.244146729641661,1,1,1,"RAVE complex","CC"
"1232","GO:0070072",0.244146729641661,1,1,1,"vacuolar proton-transporting V-type ATPase complex assembly","BP"
"1389","GO:0098992",0.244146729641661,1,1,1,"neuronal dense core vesicle","CC"
"41","GO:0001018",0.244146729809475,1,1,1,"mitochondrial promoter sequence-specific DNA binding","MF"
"108","GO:0003899",0.244146729809475,1,1,1,"DNA-directed 5'-3' RNA polymerase activity","MF"
"254","GO:0006351",0.244146729809475,1,1,1,"transcription, DNA-templated","BP"
"258","GO:0006390",0.244146729809475,1,1,1,"mitochondrial transcription","BP"
"573","GO:0016779",0.244146729809475,1,1,1,"nucleotidyltransferase activity","MF"
"820","GO:0034245",0.244146729809475,1,1,1,"mitochondrial DNA-directed RNA polymerase complex","CC"
"718","GO:0031573",0.244146729882578,1,1,1,"mitotic intra-S DNA damage checkpoint signaling","BP"
"1259","GO:0070975",0.244146729882578,1,1,1,"FHA domain binding","MF"
"119","GO:0004222",0.244146730094687,1,1,1,"metalloendopeptidase activity","MF"
"400","GO:0008237",0.244146730094687,1,1,1,"metallopeptidase activity","MF"
"925","GO:0042588",0.244146730094687,1,1,1,"zymogen granule","CC"
"34","GO:0000976",0.244146730095897,1,1,1,"transcription cis-regulatory region binding","MF"
"35","GO:0000978",0.244146730095897,1,1,1,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF"
"37","GO:0000987",0.244146730095897,1,1,1,"cis-regulatory region sequence-specific DNA binding","MF"
"44","GO:0001221",0.244146730095897,1,1,1,"transcription coregulator binding","MF"
"59","GO:0001714",0.244146730095897,1,1,1,"endodermal cell fate specification","BP"
"66","GO:0001826",0.244146730095897,1,1,1,"inner cell mass cell differentiation","BP"
"103","GO:0003700",0.244146730095897,1,1,1,"DNA-binding transcription factor activity","MF"
"191","GO:0005667",0.244146730095897,1,1,1,"transcription regulator complex","CC"
"342","GO:0007219",0.244146730095897,1,1,1,"Notch signaling pathway","BP"
"359","GO:0007492",0.244146730095897,1,1,1,"endoderm development","BP"
"445","GO:0009743",0.244146730095897,1,1,1,"response to carbohydrate","BP"
"456","GO:0009952",0.244146730095897,1,1,1,"anterior/posterior pattern specification","BP"
"625","GO:0030073",0.244146730095897,1,1,1,"insulin secretion","BP"
"628","GO:0030111",0.244146730095897,1,1,1,"regulation of Wnt signaling pathway","BP"
"689","GO:0030902",0.244146730095897,1,1,1,"hindbrain development","BP"
"694","GO:0031018",0.244146730095897,1,1,1,"endocrine pancreas development","BP"
"785","GO:0032922",0.244146730095897,1,1,1,"circadian regulation of gene expression","BP"
"860","GO:0035565",0.244146730095897,1,1,1,"regulation of pronephros size","BP"
"894","GO:0039020",0.244146730095897,1,1,1,"pronephric nephron tubule development","BP"
"1048","GO:0045893",0.244146730095897,1,1,1,"positive regulation of transcription, DNA-templated","BP"
"1049","GO:0045944",0.244146730095897,1,1,1,"positive regulation of transcription by RNA polymerase II","BP"
"1090","GO:0048557",0.244146730095897,1,1,1,"embryonic digestive tract morphogenesis","BP"
"1092","GO:0048598",0.244146730095897,1,1,1,"embryonic morphogenesis","BP"
"1103","GO:0048806",0.244146730095897,1,1,1,"genitalia development","BP"
"1112","GO:0050673",0.244146730095897,1,1,1,"epithelial cell proliferation","BP"
"1197","GO:0060261",0.244146730095897,1,1,1,"positive regulation of transcription initiation from RNA polymerase II promoter","BP"
"1203","GO:0060429",0.244146730095897,1,1,1,"epithelium development","BP"
"1209","GO:0060677",0.244146730095897,1,1,1,"ureteric bud elongation","BP"
"1219","GO:0061017",0.244146730095897,1,1,1,"hepatoblast differentiation","BP"
"1223","GO:0061296",0.244146730095897,1,1,1,"negative regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis","BP"
"1229","GO:0065004",0.244146730095897,1,1,1,"protein-DNA complex assembly","BP"
"1237","GO:0070365",0.244146730095897,1,1,1,"hepatocyte differentiation","BP"
"1305","GO:0072095",0.244146730095897,1,1,1,"regulation of branch elongation involved in ureteric bud branching","BP"
"1306","GO:0072164",0.244146730095897,1,1,1,"mesonephric tubule development","BP"
"1307","GO:0072176",0.244146730095897,1,1,1,"nephric duct development","BP"
"1308","GO:0072177",0.244146730095897,1,1,1,"mesonephric duct development","BP"
"1309","GO:0072179",0.244146730095897,1,1,1,"nephric duct formation","BP"
"1310","GO:0072181",0.244146730095897,1,1,1,"mesonephric duct formation","BP"
"1432","GO:1900212",0.244146730095897,1,1,1,"negative regulation of mesenchymal cell apoptotic process involved in metanephros development","BP"
"121","GO:0004322",0.244146730098147,1,1,1,"ferroxidase activity","MF"
"284","GO:0006825",0.244146730098147,1,1,1,"copper ion transport","BP"
"285","GO:0006826",0.244146730098147,1,1,1,"iron ion transport","BP"
"293","GO:0006879",0.244146730098147,1,1,1,"cellular iron ion homeostasis","BP"
"394","GO:0008198",0.244146730098147,1,1,1,"ferrous iron binding","MF"
"647","GO:0030218",0.244146730098147,1,1,1,"erythrocyte differentiation","BP"
"67","GO:0001837",0.244146730098611,1,1,1,"epithelial to mesenchymal transition","BP"
"80","GO:0001974",0.244146730098611,1,1,1,"blood vessel remodeling","BP"
"89","GO:0003007",0.244146730098611,1,1,1,"heart morphogenesis","BP"
"94","GO:0003334",0.244146730098611,1,1,1,"keratinocyte development","BP"
"96","GO:0003382",0.244146730098611,1,1,1,"epithelial cell morphogenesis","BP"
"151","GO:0005080",0.244146730098611,1,1,1,"protein kinase C binding","MF"
"339","GO:0007195",0.244146730098611,1,1,1,"adenylate cyclase-inhibiting dopamine receptor signaling pathway","BP"
"363","GO:0007519",0.244146730098611,1,1,1,"skeletal muscle tissue development","BP"
"427","GO:0009055",0.244146730098611,1,1,1,"electron transfer activity","MF"
"508","GO:0015035",0.244146730098611,1,1,1,"protein-disulfide reductase activity","MF"
"518","GO:0015459",0.244146730098611,1,1,1,"potassium channel regulator activity","MF"
"553","GO:0016479",0.244146730098611,1,1,1,"negative regulation of transcription by RNA polymerase I","BP"
"559","GO:0016528",0.244146730098611,1,1,1,"sarcoplasm","CC"
"609","GO:0021943",0.244146730098611,1,1,1,"formation of radial glial scaffolds","BP"
"619","GO:0030029",0.244146730098611,1,1,1,"actin filament-based process","BP"
"673","GO:0030506",0.244146730098611,1,1,1,"ankyrin binding","MF"
"715","GO:0031523",0.244146730098611,1,1,1,"Myb complex","CC"
"717","GO:0031532",0.244146730098611,1,1,1,"actin cytoskeleton reorganization","BP"
"751","GO:0032231",0.244146730098611,1,1,1,"regulation of actin filament bundle assembly","BP"
"752","GO:0032233",0.244146730098611,1,1,1,"positive regulation of actin filament bundle assembly","BP"
"765","GO:0032432",0.244146730098611,1,1,1,"actin filament bundle","CC"
"826","GO:0034394",0.244146730098611,1,1,1,"protein localization to cell surface","BP"
"841","GO:0034988",0.244146730098611,1,1,1,"Fc-gamma receptor I complex binding","MF"
"912","GO:0042177",0.244146730098611,1,1,1,"negative regulation of protein catabolic process","BP"
"934","GO:0042789",0.244146730098611,1,1,1,"mRNA transcription by RNA polymerase II","BP"
"980","GO:0043433",0.244146730098611,1,1,1,"negative regulation of DNA-binding transcription factor activity","BP"
"998","GO:0044295",0.244146730098611,1,1,1,"axonal growth cone","CC"
"1024","GO:0045214",0.244146730098611,1,1,1,"sarcomere organization","BP"
"1025","GO:0045216",0.244146730098611,1,1,1,"cell-cell junction organization","BP"
"1061","GO:0046332",0.244146730098611,1,1,1,"SMAD binding","MF"
"1095","GO:0048680",0.244146730098611,1,1,1,"positive regulation of axon regeneration","BP"
"1125","GO:0050821",0.244146730098611,1,1,1,"protein stabilization","BP"
"1132","GO:0051015",0.244146730098611,1,1,1,"actin filament binding","MF"
"1134","GO:0051020",0.244146730098611,1,1,1,"GTPase binding","MF"
"1142","GO:0051220",0.244146730098611,1,1,1,"cytoplasmic sequestering of protein","BP"
"1159","GO:0051764",0.244146730098611,1,1,1,"actin crosslink formation","BP"
"1172","GO:0055001",0.244146730098611,1,1,1,"muscle cell development","BP"
"1274","GO:0071346",0.244146730098611,1,1,1,"cellular response to interferon-gamma","BP"
"1284","GO:0071526",0.244146730098611,1,1,1,"semaphorin-plexin signaling pathway","BP"
"1322","GO:0090042",0.244146730098611,1,1,1,"tubulin deacetylation","BP"
"1362","GO:0097368",0.244146730098611,1,1,1,"establishment of Sertoli cell barrier","BP"
"1363","GO:0097440",0.244146730098611,1,1,1,"apical dendrite","CC"
"1422","GO:0140297",0.244146730098611,1,1,1,"DNA-binding transcription factor binding","MF"
"1429","GO:1900026",0.244146730098611,1,1,1,"positive regulation of substrate adhesion-dependent cell spreading","BP"
"1441","GO:1901381",0.244146730098611,1,1,1,"positive regulation of potassium ion transmembrane transport","BP"
"1448","GO:1902396",0.244146730098611,1,1,1,"protein localization to bicellular tight junction","BP"
"1486","GO:1905000",0.244146730098611,1,1,1,"regulation of membrane repolarization during atrial cardiac muscle cell action potential","BP"
"1487","GO:1905031",0.244146730098611,1,1,1,"regulation of membrane repolarization during cardiac muscle cell action potential","BP"
"1518","GO:2000179",0.244146730098611,1,1,1,"positive regulation of neural precursor cell proliferation","BP"
"1530","GO:2001046",0.244146730098611,1,1,1,"positive regulation of integrin-mediated signaling pathway","BP"
"1533","GO:2001224",0.244146730098611,1,1,1,"positive regulation of neuron migration","BP"
"187","GO:0005615",0.246606017126516,0.928753017054788,3,7,"extracellular space","CC"
"235","GO:0005925",0.25157625604729,0.952915340733441,2,4,"focal adhesion","CC"
"669","GO:0030426",0.251628030126763,0.95289874316634,2,4,"growth cone","CC"
"1198","GO:0060271",0.251716488123597,0.95287037912325,2,4,"cilium assembly","BP"
"65","GO:0001822",0.252254244212024,0.9526977722,2,4,"kidney development","BP"
"106","GO:0003779",0.252338374591091,0.952670741073925,2,4,"actin binding","MF"
"706","GO:0031267",0.268133916191225,0.918918355588009,3,7,"small GTPase binding","MF"
"629","GO:0030127",0.277561480838455,1,1,1,"COPII vesicle coat","CC"
"1328","GO:0090114",0.277561480838455,1,1,1,"COPII-coated vesicle budding","BP"
"948","GO:0043066",0.296063183232633,0.937611202895923,2,4,"negative regulation of apoptotic process","BP"
"213","GO:0005802",0.311642079394601,0.93174906834712,2,4,"trans-Golgi network","CC"
"84","GO:0002082",0.314242059628024,1,1,1,"regulation of oxidative phosphorylation","BP"
"114","GO:0004017",0.314242059628024,1,1,1,"adenylate kinase activity","MF"
"200","GO:0005758",0.314242059628024,1,1,1,"mitochondrial intermembrane space","CC"
"241","GO:0006172",0.314242059628024,1,1,1,"ADP biosynthetic process","BP"
"278","GO:0006756",0.314242059628024,1,1,1,"AMP phosphorylation","BP"
"370","GO:0007596",0.314242059628024,1,1,1,"blood coagulation","BP"
"572","GO:0016776",0.314242059628024,1,1,1,"phosphotransferase activity, phosphate group as acceptor","MF"
"1054","GO:0046033",0.314242059628024,1,1,1,"AMP metabolic process","BP"
"1055","GO:0046034",0.314242059628024,1,1,1,"ATP metabolic process","BP"
"1057","GO:0046041",0.314242059628024,1,1,1,"ITP metabolic process","BP"
"1058","GO:0046051",0.314242059628024,1,1,1,"UTP metabolic process","BP"
"1059","GO:0046060",0.314242059628024,1,1,1,"dATP metabolic process","BP"
"1073","GO:0046899",0.314242059628024,1,1,1,"nucleoside triphosphate adenylate kinase activity","MF"
"1282","GO:0071456",0.314242059628024,1,1,1,"cellular response to hypoxia","BP"
"1531","GO:2001169",0.314242059628024,1,1,1,"regulation of ATP biosynthetic process","BP"
"965","GO:0043204",0.354812848763378,0.903275997835114,2,5,"perikaryon","CC"
"1315","GO:0072659",0.35644758305995,0.902486883604616,2,5,"protein localization to plasma membrane","BP"
"1003","GO:0044325",0.357163631563577,0.902140186756212,2,5,"transmembrane transporter binding","MF"
"179","GO:0005525",0.35907464186043,0.871466376534507,3,7,"GTP binding","MF"
"156","GO:0005159",0.375713093103129,1,1,1,"insulin-like growth factor receptor binding","MF"
"219","GO:0005834",0.375713093103129,1,1,1,"heterotrimeric G-protein complex","CC"
"335","GO:0007188",0.375713093103129,1,1,1,"adenylate cyclase-modulating G protein-coupled receptor signaling pathway","BP"
"338","GO:0007191",0.375713093103129,1,1,1,"adenylate cyclase-activating dopamine receptor signaling pathway","BP"
"372","GO:0007606",0.375713093103129,1,1,1,"sensory perception of chemical stimulus","BP"
"486","GO:0010856",0.375713093103129,1,1,1,"adenylate cyclase activator activity","MF"
"586","GO:0019001",0.375713093103129,1,1,1,"guanyl nucleotide binding","MF"
"707","GO:0031279",0.375713093103129,1,1,1,"regulation of cyclase activity","BP"
"728","GO:0031683",0.375713093103129,1,1,1,"G-protein beta/gamma-subunit complex binding","MF"
"729","GO:0031698",0.375713093103129,1,1,1,"beta-2 adrenergic receptor binding","MF"
"730","GO:0031748",0.375713093103129,1,1,1,"D1 dopamine receptor binding","MF"
"851","GO:0035255",0.375713093103129,1,1,1,"ionotropic glutamate receptor binding","MF"
"997","GO:0043950",0.375713093103129,1,1,1,"positive regulation of cAMP-mediated signaling","BP"
"1074","GO:0046907",0.375713093103129,1,1,1,"intracellular transport","BP"
"1091","GO:0048589",0.375713093103129,1,1,1,"developmental growth","BP"
"1151","GO:0051430",0.375713093103129,1,1,1,"corticotropin-releasing hormone receptor 1 binding","MF"
"1212","GO:0060789",0.375713093103129,1,1,1,"hair follicle placode formation","BP"
"1279","GO:0071380",0.375713093103129,1,1,1,"cellular response to prostaglandin E stimulus","BP"
"1294","GO:0071870",0.375713093103129,1,1,1,"cellular response to catecholamine stimulus","BP"
"1296","GO:0071880",0.375713093103129,1,1,1,"adenylate cyclase-activating adrenergic receptor signaling pathway","BP"
"1008","GO:0044877",0.384207894011777,0.84545758814544,3,9,"protein-containing complex binding","MF"
"401","GO:0008270",0.416793193247197,0.870966815064723,2,5,"zinc ion binding","MF"
"1104","GO:0048812",0.428939355333581,0.940644647800343,1,2,"neuron projection morphogenesis","BP"
"317","GO:0007040",0.428939355379408,0.940644647785598,1,2,"lysosome organization","BP"
"595","GO:0019898",0.428939355652437,0.940644647697742,1,2,"extrinsic component of membrane","CC"
"430","GO:0009267",0.428939355753409,0.940644647665253,1,2,"cellular response to starvation","BP"
"470","GO:0010506",0.428939355753409,0.940644647665253,1,2,"regulation of autophagy","BP"
"230","GO:0005902",0.428939355942665,0.940644647604353,1,2,"microvillus","CC"
"1452","GO:1902533",0.428939355942665,0.940644647604353,1,2,"positive regulation of intracellular signal transduction","BP"
"782","GO:0032839",0.428939355966421,0.94064464759671,1,2,"dendrite cytoplasm","CC"
"1116","GO:0050731",0.428939355968773,0.940644647595953,1,2,"positive regulation of peptidyl-tyrosine phosphorylation","BP"
