"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"125","GO:1905274",2.00957903818463e-05,1,8,8,"regulation of modification of postsynaptic actin cytoskeleton","BP"
"17","GO:0005871",0.0181274523935392,0.996269942502963,7,12,"kinesin complex","CC"
"20","GO:0006351",0.0102532733305761,0.99828076624663,7,11,"transcription, DNA-templated","BP"
"44","GO:0009952",0.0313989366708153,0.992253956369676,7,13,"anterior/posterior pattern specification","BP"
"75","GO:0042073",0.0489469883666762,0.986015804173671,7,14,"intraciliary transport","BP"
"86","GO:0045599",0.0179275006083618,0.996320284450929,7,12,"negative regulation of fat cell differentiation","BP"
"14","GO:0005254",0.0435016866896637,0.98980268450114,6,11,"chloride channel activity","MF"
"22","GO:0006367",0.000344426391027331,1,6,6,"transcription initiation from RNA polymerase II promoter","BP"
"25","GO:0006661",0.00552299849313953,0.999469721545804,6,8,"phosphatidylinositol biosynthetic process","BP"
"31","GO:0007346",0.0129621078429669,0.998145820725153,6,9,"regulation of mitotic cell cycle","BP"
"40","GO:0008217",0.0254499936082438,0.995177875457277,6,10,"regulation of blood pressure","BP"
"59","GO:0017053",0.0130689466888416,0.998126756450541,6,9,"transcription repressor complex","CC"
"85","GO:0045494",0.0251543649771829,0.995248183235103,6,10,"photoreceptor cell maintenance","BP"
"91","GO:0048596",0.013043080752209,0.998131375745821,6,9,"embryonic camera-type eye morphogenesis","BP"
"93","GO:0048678",0.0056503519669989,0.999454568685915,6,8,"response to axon injury","BP"
"110","GO:0070372",0.00542690464970578,0.999481097443376,6,8,"regulation of ERK1 and ERK2 cascade","BP"
"111","GO:0071013",0.0435195356505888,0.9897973757494,6,11,"catalytic step 2 spliceosome","CC"
"115","GO:0090630",0.0424991866063239,0.990099816761045,6,11,"activation of GTPase activity","BP"
"2","GO:0000794",0.0341960398852962,0.994343541950466,5,8,"condensed nuclear chromosome","CC"
"10","GO:0004177",0.0337286768271181,0.994443747130721,5,8,"aminopeptidase activity","MF"
"28","GO:0006890",0.00128893123577883,1,5,5,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","BP"
"46","GO:0010172",0.0156915143351743,0.998271252052741,5,7,"embryonic body morphogenesis","BP"
"84","GO:0043583",0.0328064120719263,0.99464016182559,5,8,"ear development","BP"
"87","GO:0045664",0.0335024768197065,0.99449208417816,5,8,"regulation of neuron differentiation","BP"
"96","GO:0050806",0.0335589991630785,0.994480015730242,5,8,"positive regulation of synaptic transmission","BP"
"99","GO:0051276",0.0334095340000234,0.994511914626289,5,8,"chromosome organization","BP"
"6","GO:0001823",0.0450915444370945,0.994068701546816,4,6,"mesonephros development","BP"
"9","GO:0003899",0.0449801022211867,0.994088606389243,4,6,"DNA-directed 5'-3' RNA polymerase activity","MF"
"12","GO:0004970",0.00480726196746827,1,4,4,"ionotropic glutamate receptor activity","MF"
"33","GO:0007422",0.0188973470037301,0.998741455722019,4,5,"peripheral nervous system development","BP"
"39","GO:0008090",0.0194759447689045,0.998689562669908,4,5,"retrograde axonal transport","BP"
"43","GO:0008355",0.00476654393300831,1,4,4,"olfactory learning","BP"
"47","GO:0014032",0.0452420666447571,0.994041786039206,4,6,"neural crest cell development","BP"
"49","GO:0015562",0.0188611552610939,0.99874468267929,4,5,"efflux transmembrane transporter activity","MF"
"50","GO:0015711",0.0188611552610939,0.99874468267929,4,5,"organic anion transport","BP"
"52","GO:0016203",0.0186953816062965,0.998759434740228,4,5,"muscle attachment","BP"
"53","GO:0016486",0.0440383265066308,0.994256046956476,4,6,"peptide hormone processing","BP"
"55","GO:0016595",0.0449502402792489,0.994093936799537,4,6,"glutamate binding","MF"
"61","GO:0019229",0.0184970366705866,0.998777022975219,4,5,"regulation of vasoconstriction","BP"
"63","GO:0021545",0.0445544920940319,0.994164447762624,4,6,"cranial nerve development","BP"
"66","GO:0030991",0.0447125784449313,0.994136310516671,4,6,"intraciliary transport particle A","CC"
"70","GO:0035235",0.00480726196746827,1,4,4,"ionotropic glutamate receptor signaling pathway","BP"
"72","GO:0035418",0.0187977261275829,0.998750332771523,4,5,"protein localization to synapse","BP"
"74","GO:0036372",0.0187798502799392,0.998751923853075,4,5,"opsin transport","BP"
"81","GO:0043393",0.00483905672284436,1,4,4,"regulation of protein binding","BP"
"82","GO:0043490",0.0451314902864983,0.994061562080713,4,6,"malate-aspartate shuttle","BP"
"94","GO:0050766",0.0445613263188397,0.994163232166981,4,6,"positive regulation of phagocytosis","BP"
"107","GO:0060993",0.0448628895658389,0.994109521116249,4,6,"kidney morphogenesis","BP"
"112","GO:0071276",0.0192433865298304,0.998710488723307,4,5,"cellular response to cadmium ion","BP"
"114","GO:0090316",0.0456758113788013,0.993964030525332,4,6,"positive regulation of intracellular protein transport","BP"
"123","GO:0140115",0.0188611552610939,0.99874468267929,4,5,"export across plasma membrane","BP"
"5","GO:0001779",0.0177245805285607,1,3,3,"natural killer cell differentiation","BP"
"13","GO:0004972",0.0182527191182885,1,3,3,"NMDA glutamate receptor activity","MF"
"18","GO:0006269",0.0181550764712206,1,3,3,"DNA replication, synthesis of RNA primer","BP"
"35","GO:0007548",0.0181650984596842,1,3,3,"sex differentiation","BP"
"38","GO:0008061",0.018518601739671,1,3,3,"chitin binding","MF"
"41","GO:0008328",0.0183400005660376,1,3,3,"ionotropic glutamate receptor complex","CC"
"51","GO:0016032",0.0181867461736048,1,3,3,"viral process","BP"
"60","GO:0017146",0.0182527191182885,1,3,3,"NMDA selective glutamate receptor complex","CC"
"64","GO:0021914",0.0180946174502068,1,3,3,"negative regulation of smoothened signaling pathway involved in ventral spinal cord patterning","BP"
"65","GO:0021952",0.0178619722510384,1,3,3,"central nervous system projection neuron axonogenesis","BP"
"68","GO:0034705",0.0182955539240494,1,3,3,"potassium channel complex","CC"
"71","GO:0035371",0.018418429214307,1,3,3,"microtubule plus-end","CC"
"80","GO:0043280",0.0185556935236332,1,3,3,"positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","BP"
"88","GO:0046626",0.0180093292125023,1,3,3,"regulation of insulin receptor signaling pathway","BP"
"92","GO:0048672",0.0180838099734902,1,3,3,"positive regulation of collateral sprouting","BP"
"97","GO:0050974",0.018322227288443,1,3,3,"detection of mechanical stimulus involved in sensory perception","BP"
"102","GO:0060052",0.0185577213669447,1,3,3,"neurofilament cytoskeleton organization","BP"
"103","GO:0060088",0.0186252955387306,1,3,3,"auditory receptor cell stereocilium organization","BP"
"106","GO:0060831",0.0180946174502068,1,3,3,"smoothened signaling pathway involved in dorsal/ventral neural tube patterning","BP"
"109","GO:0061066",0.0180093292125023,1,3,3,"positive regulation of dauer larval development","BP"
"116","GO:0097500",0.0180946174502068,1,3,3,"receptor localization to non-motile cilium","BP"
