"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"123","GO:0140115",0.0188611552610939,0.99874468267929,4,5,"export across plasma membrane","BP"
"5","GO:0001779",0.0177245805285607,1,3,3,"natural killer cell differentiation","BP"
"18","GO:0006269",0.0181550764712206,1,3,3,"DNA replication, synthesis of RNA primer","BP"
"35","GO:0007548",0.0181650984596842,1,3,3,"sex differentiation","BP"
"51","GO:0016032",0.0181867461736048,1,3,3,"viral process","BP"
"64","GO:0021914",0.0180946174502068,1,3,3,"negative regulation of smoothened signaling pathway involved in ventral spinal cord patterning","BP"
"65","GO:0021952",0.0178619722510384,1,3,3,"central nervous system projection neuron axonogenesis","BP"
"80","GO:0043280",0.0185556935236332,1,3,3,"positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","BP"
"88","GO:0046626",0.0180093292125023,1,3,3,"regulation of insulin receptor signaling pathway","BP"
"92","GO:0048672",0.0180838099734902,1,3,3,"positive regulation of collateral sprouting","BP"
"97","GO:0050974",0.018322227288443,1,3,3,"detection of mechanical stimulus involved in sensory perception","BP"
"102","GO:0060052",0.0185577213669447,1,3,3,"neurofilament cytoskeleton organization","BP"
"103","GO:0060088",0.0186252955387306,1,3,3,"auditory receptor cell stereocilium organization","BP"
"106","GO:0060831",0.0180946174502068,1,3,3,"smoothened signaling pathway involved in dorsal/ventral neural tube patterning","BP"
"109","GO:0061066",0.0180093292125023,1,3,3,"positive regulation of dauer larval development","BP"
"116","GO:0097500",0.0180946174502068,1,3,3,"receptor localization to non-motile cilium","BP"
